X,L,Section,End Condition,,Slope ,Deflection
0,5,0,SS,,0,0
0.005,5,0,SS,,-0.0083,0
0.01,5,0,SS,,-0.0166,0
0.015,5,0,SS,,-0.0249,0
0.02,5,0,SS,,-0.0331,0
0.025,5,0,SS,,-0.0414,0
0.03,5,0,SS,,-0.0496,0
0.035,5,0,SS,,-0.0577,0
0.04,5,0,SS,,-0.0659,0
0.045,5,0,SS,,-0.074,0
0.05,5,0,SS,,-0.0821,0
0.055,5,0,SS,,-0.0902,0
0.06,5,0,SS,,-0.0982,0
0.065,5,0,SS,,-0.1062,0
0.07,5,0,SS,,-0.1142,0
0.075,5,0,SS,,-0.1222,0
0.08,5,0,SS,,-0.1302,0
0.085,5,0,SS,,-0.1381,0
0.09,5,0,SS,,-0.146,0
0.095,5,0,SS,,-0.1538,0
0.1,5,0,SS,,-0.1617,0
0.105,5,0,SS,,-0.1695,0
0.11,5,0,SS,,-0.1773,0
0.115,5,0,SS,,-0.1851,0
0.12,5,0,SS,,-0.1929,0
0.125,5,0,SS,,-0.2006,0
0.13,5,0,SS,,-0.2083,0
0.135,5,0,SS,,-0.216,0
0.14,5,0,SS,,-0.2236,0
0.145,5,0,SS,,-0.2313,0
0.15,5,0,SS,,-0.2389,0
0.155,5,0,SS,,-0.2464,0
0.16,5,0,SS,,-0.254,0
0.165,5,0,SS,,-0.2615,0
0.17,5,0,SS,,-0.269,0
0.175,5,0,SS,,-0.2765,0
0.18,5,0,SS,,-0.284,0
0.185,5,0,SS,,-0.2914,0
0.19,5,0,SS,,-0.2988,0
0.195,5,0,SS,,-0.3062,0
0.2,5,0,SS,,-0.3136,0
0.205,5,0,SS,,-0.3209,0
0.21,5,0,SS,,-0.3283,0
0.215,5,0,SS,,-0.3356,0
0.22,5,0,SS,,-0.3428,0
0.225,5,0,SS,,-0.3501,0
0.23,5,0,SS,,-0.3573,0
0.235,5,0,SS,,-0.3645,0
0.24,5,0,SS,,-0.3717,0
0.245,5,0,SS,,-0.3788,0
0.25,5,0,SS,,-0.3859,0
0.255,5,0,SS,,-0.393,0
0.26,5,0,SS,,-0.4001,0
0.265,5,0,SS,,-0.4072,0
0.27,5,0,SS,,-0.4142,0
0.275,5,0,SS,,-0.4212,0
0.28,5,0,SS,,-0.4282,0
0.285,5,0,SS,,-0.4352,0
0.29,5,0,SS,,-0.4421,0
0.295,5,0,SS,,-0.449,0
0.3,5,0,SS,,-0.4559,0
0.305,5,0,SS,,-0.4628,0
0.31,5,0,SS,,-0.4696,0
0.315,5,0,SS,,-0.4764,0
0.32,5,0,SS,,-0.4832,0
0.325,5,0,SS,,-0.49,0
0.33,5,0,SS,,-0.4967,0
0.335,5,0,SS,,-0.5035,0
